X (Grid)	Y (Grid)	X (m)	Y (m)	Data
75	97	302	10	0
76	97	306	10	0
77	97	310	10	0
78	97	314	10	0
79	97	318	10	0
80	97	322	10	0
81	97	326	10	0
82	97	330	10	0
83	97	334	10	0
84	97	338	10	0
85	97	342	10	0
86	97	346	10	0
87	97	350	10	0
88	97	354	10	0
89	97	358	10	0
90	97	362	10	0
91	97	366	10	0
92	97	370	10	0
93	97	374	10	0
94	97	378	10	0
95	97	382	10	0
96	97	386	10	0
97	97	390	10	0
98	97	394	10	0
99	97	398	10	0
0	96	2	14	0
1	96	6	14	0
2	96	10	14	0
3	96	14	14	0
4	96	18	14	0
5	96	22	14	0
6	96	26	14	0
7	96	30	14	0
8	96	34	14	0
9	96	38	14	0
10	96	42	14	0
11	96	46	14	0
12	96	50	14	0
13	96	54	14	0
14	96	58	14	0
15	96	62	14	0
16	96	66	14	0
17	96	70	14	0
18	96	74	14	0
19	96	78	14	0
20	96	82	14	0
21	96	86	14	0
22	96	90	14	0
23	96	94	14	0
24	96	98	14	0
25	96	102	14	0
26	96	106	14	0
27	96	110	14	0
28	96	114	14	0
29	96	118	14	0
30	96	122	14	0
31	96	126	14	0
32	96	130	14	0
33	96	134	14	0
34	96	138	14	0
35	96	142	14	0
36	96	146	14	0
37	96	150	14	0
38	96	154	14	0
39	96	158	14	0
40	96	162	14	0
41	96	166	14	0
42	96	170	14	0
43	96	174	14	0
44	96	178	14	0
45	96	182	14	0
46	96	186	14	0
47	96	190	14	0
48	96	194	14	0
49	96	198	14	0
50	96	202	14	0
51	96	206	14	0
52	96	210	14	0
53	96	214	14	0
54	96	218	14	0
55	96	222	14	0
56	96	226	14	0.407963
57	96	230	14	0.3505
58	96	234	14	0.947256
59	96	238	14	0.92989
60	96	242	14	0.95798
61	96	246	14	0.420095
62	96	250	14	0.364561
63	96	254	14	0
64	96	258	14	0
65	96	262	14	0
66	96	266	14	0
67	96	270	14	0
68	96	274	14	0
69	96	278	14	0
70	96	282	14	0
71	96	286	14	0
72	96	290	14	0
73	96	294	14	0
74	96	298	14	0
75	96	302	14	0
76	96	306	14	0
77	96	310	14	0
78	96	314	14	0
79	96	318	14	0
80	96	322	14	0
81	96	326	14	0
82	96	330	14	0
83	96	334	14	0
84	96	338	14	0
85	96	342	14	0
86	96	346	14	0
87	96	350	14	0
88	96	354	14	0
89	96	358	14	0
90	96	362	14	0
91	96	366	14	0
92	96	370	14	0
93	96	374	14	0
94	96	378	14	0
95	96	382	14	0
96	96	386	14	0
97	96	390	14	0
98	96	394	14	0
99	96	398	14	0
0	95	2	18	0
1	95	6	18	0
2	95	10	18	0
3	95	14	18	0
4	95	18	18	0
5	95	22	18	0
6	95	26	18	0
7	95	30	18	0
8	95	34	18	0
9	95	38	18	0
10	95	42	18	0
11	95	46	18	0
12	95	50	18	0
13	95	54	18	0
14	95	58	18	0
15	95	62	18	0
16	95	66	18	0
17	95	70	18	0
18	95	74	18	0
19	95	78	18	0
20	95	82	18	0
21	95	86	18	0
22	95	90	18	0
23	95	94	18	0
24	95	98	18	0
25	95	102	18	0
26	95	106	18	0
27	95	110	18	0
28	95	114	18	0
29	95	118	18	0
30	95	122	18	0
31	95	126	18	0
32	95	130	18	0
33	95	134	18	0
34	95	138	18	0
35	95	142	18	0
36	95	146	18	0
37	95	150	18	0
38	95	154	18	0
39	95	158	18	0
40	95	162	18	0
41	95	166	18	0
42	95	170	18	0
43	95	174	18	0
44	95	178	18	0
45	95	182	18	0
46	95	186	18	0
47	95	190	18	0
48	95	194	18	0
49	95	198	18	0
50	95	202	18	0
51	95	206	18	0
52	95	210	18	0
53	95	214	18	0
54	95	218	18	0
55	95	222	18	0.369868
56	95	226	18	0.438662
57	95	230	18	1.453568
58	95	234	18	1.43485
59	95	238	18	0.959297
60	95	242	18	1.490969
61	95	246	18	1.504319
62	95	250	18	0.396559
63	95	254	18	0.442548
64	95	258	18	0
65	95	262	18	0
66	95	266	18	0.427063
67	95	270	18	0.397196
68	95	274	18	0.420186
69	95	278	18	0
70	95	282	18	1.270218
71	95	286	18	0.366558
72	95	290	18	0.345574
73	95	294	18	0
74	95	298	18	0
75	95	302	18	0
76	95	306	18	0
77	95	310	18	0
78	95	314	18	0
79	95	318	18	0
80	95	322	18	0
81	95	326	18	0
82	95	330	18	0
83	95	334	18	0
84	95	338	18	0
85	95	342	18	0
86	95	346	18	0
87	95	350	18	0
88	95	354	18	0
89	95	358	18	0
90	95	362	18	0
91	95	366	18	0
92	95	370	18	0
93	95	374	18	0
94	95	378	18	0
95	95	382	18	0
96	95	386	18	0
97	95	390	18	0
98	95	394	18	0
99	95	398	18	0
0	94	2	22	0
1	94	6	22	0
2	94	10	22	0
3	94	14	22	0
4	94	18	22	0
5	94	22	22	0
6	94	26	22	0
7	94	30	22	0
8	94	34	22	0
9	94	38	22	0
10	94	42	22	0
11	94	46	22	0
12	94	50	22	0
13	94	54	22	0
14	94	58	22	0
15	94	62	22	0
16	94	66	22	0
17	94	70	22	0
18	94	74	22	0
19	94	78	22	0
20	94	82	22	0
21	94	86	22	0
22	94	90	22	0
23	94	94	22	0
24	94	98	22	0
25	94	102	22	0
26	94	106	22	0
27	94	110	22	0
28	94	114	22	0
29	94	118	22	0
30	94	122	22	0
31	94	126	22	0
32	94	130	22	0
33	94	134	22	0
34	94	138	22	0
35	94	142	22	0
36	94	146	22	0
37	94	150	22	0
38	94	154	22	0
39	94	158	22	0
40	94	162	22	0
41	94	166	22	0
42	94	170	22	0
43	94	174	22	0
44	94	178	22	0
45	94	182	22	0
46	94	186	22	0
47	94	190	22	0
48	94	194	22	0
49	94	198	22	0
50	94	202	22	0
51	94	206	22	0
52	94	210	22	0
53	94	214	22	0
54	94	218	22	0
55	94	222	22	0.368122
56	94	226	22	0.944041
57	94	230	22	1.406829
58	94	234	22	5.572349
59	94	238	22	12.741495
60	94	242	22	5.55055
61	94	246	22	1.473625
62	94	250	22	0.89592
63	94	254	22	0.393015
64	94	258	22	0.382057
65	94	262	22	1.40818
66	94	266	22	1.44267
67	94	270	22	1.48294
68	94	274	22	2.284062
69	94	278	22	2.281759
70	94	282	22	1.470392
71	94	286	22	1.40461
72	94	290	22	0.847067
73	94	294	22	0.899919
74	94	298	22	0
75	94	302	22	0
76	94	306	22	0
77	94	310	22	0
78	94	314	22	0
79	94	318	22	0
80	94	322	22	0
81	94	326	22	0
82	94	330	22	0
83	94	334	22	0
84	94	338	22	0
85	94	342	22	0
86	94	346	22	0
87	94	350	22	0
88	94	354	22	0
89	94	358	22	0
90	94	362	22	0
91	94	366	22	0
92	94	370	22	0
93	94	374	22	0
94	94	378	22	0
95	94	382	22	0
96	94	386	22	0
97	94	390	22	0
98	94	394	22	0
99	94	398	22	0
0	93	2	26	0
1	93	6	26	0
2	93	10	26	0
3	93	14	26	0
4	93	18	26	0
5	93	22	26	0
6	93	26	26	0
7	93	30	26	0
8	93	34	26	0
9	93	38	26	0
10	93	42	26	0
11	93	46	26	0
12	93	50	26	0
13	93	54	26	0
14	93	58	26	0
15	93	62	26	0
16	93	66	26	0
17	93	70	26	0
18	93	74	26	0
19	93	78	26	0
20	93	82	26	0
21	93	86	26	0
22	93	90	26	0
23	93	94	26	0
24	93	98	26	0
25	93	102	26	0
26	93	106	26	0
27	93	110	26	0
28	93	114	26	0
29	93	118	26	0
30	93	122	26	0
31	93	126	26	0
32	93	130	26	0
33	93	134	26	0
34	93	138	26	0
35	93	142	26	0
36	93	146	26	0
37	93	150	26	0
38	93	154	26	0
39	93	158	26	0
40	93	162	26	0
41	93	166	26	0
42	93	170	26	0
43	93	174	26	0
44	93	178	26	0
45	93	182	26	0
46	93	186	26	0
47	93	190	26	0
48	93	194	26	0
49	93	198	26	0
50	93	202	26	0
51	93	206	26	0
52	93	210	26	0
53	93	214	26	0
54	93	218	26	0
55	93	222	26	0.846226
56	93	226	26	0.829571
57	93	230	26	0.843986
58	93	234	26	12.538971
59	93	238	26	-999
60	93	242	26	12.557793
61	93	246	26	0.851512
62	93	250	26	0.806281
